,tra_meas,partner,geo,2023 ,nom_anglais
0,PAS_BRD_ARR ,AT ,BE,330389 ,Belgium
1,PAS_BRD_ARR ,AT ,BG,269228 ,Bulgaria
2,PAS_BRD_ARR ,AT ,CY,198073 ,Cyprus
3,PAS_BRD_ARR ,AT ,CZ,83535 ,Czech Republic
4,PAS_BRD_ARR ,AT ,DE,2600048 ,Germany
5,PAS_BRD_ARR ,AT ,DK,331717 ,Denmark
6,PAS_BRD_ARR ,AT ,EE,30249 ,Estonia
7,PAS_BRD_ARR ,AT ,ES,,Spain
8,PAS_BRD_ARR ,AT ,FI,116486 ,Finland
9,PAS_BRD_ARR ,AT ,FR,653901 ,France
10,PAS_BRD_ARR ,AT ,HR,232370 ,Croatia
11,PAS_BRD_ARR ,AT ,HU,77077 ,Hungary
12,PAS_BRD_ARR ,AT ,IE,,Ireland
13,PAS_BRD_ARR ,AT ,IT,1249963 ,Italy
14,PAS_BRD_ARR ,AT ,LT,44629 ,Lithuania
15,PAS_BRD_ARR ,AT ,LU,50366 ,Luxembourg
16,PAS_BRD_ARR ,AT ,LV,100321 ,Latvia
17,PAS_BRD_ARR ,AT ,MT,92557 ,Malta
18,PAS_BRD_ARR ,AT ,NL,571462 ,Netherlands
19,PAS_BRD_ARR ,AT ,PL,345342 ,Poland
20,PAS_BRD_ARR ,AT ,PT,239316 ,Portugal
21,PAS_BRD_ARR ,AT ,RO,322801 ,Romania
22,PAS_BRD_ARR ,AT ,SE,,Sweden
23,PAS_BRD_ARR ,AT ,SI,,Slovenia
24,PAS_BRD_ARR ,AT ,SK,46052 ,Slovakia
25,PAS_BRD_ARR ,BE ,AT,323162 ,Austria
26,PAS_BRD_ARR ,BE ,BG,124280 ,Bulgaria
27,PAS_BRD_ARR ,BE ,CY,28742 ,Cyprus
28,PAS_BRD_ARR ,BE ,CZ,163257 ,Czech Republic
29,PAS_BRD_ARR ,BE ,DE,774627 ,Germany
30,PAS_BRD_ARR ,BE ,DK,238769 ,Denmark
31,PAS_BRD_ARR ,BE ,EE,19803 ,Estonia
32,PAS_BRD_ARR ,BE ,ES,,Spain
33,PAS_BRD_ARR ,BE ,FI,131165 ,Finland
34,PAS_BRD_ARR ,BE ,FR,910173 ,France
35,PAS_BRD_ARR ,BE ,HR,123860 ,Croatia
36,PAS_BRD_ARR ,BE ,HU,209677 ,Hungary
37,PAS_BRD_ARR ,BE ,IE,,Ireland
38,PAS_BRD_ARR ,BE ,IT,1726021 ,Italy
39,PAS_BRD_ARR ,BE ,LT,33375 ,Lithuania
40,PAS_BRD_ARR ,BE ,LU,1326 ,Luxembourg
41,PAS_BRD_ARR ,BE ,LV,63179 ,Latvia
42,PAS_BRD_ARR ,BE ,MT,92378 ,Malta
43,PAS_BRD_ARR ,BE ,NL,107254 ,Netherlands
44,PAS_BRD_ARR ,BE ,PL,348122 ,Poland
45,PAS_BRD_ARR ,BE ,PT,742742 ,Portugal
46,PAS_BRD_ARR ,BE ,RO,388762 ,Romania
47,PAS_BRD_ARR ,BE ,SE,,Sweden
48,PAS_BRD_ARR ,BE ,SI,30995 ,Slovenia
49,PAS_BRD_ARR ,BE ,SK,20315 ,Slovakia
50,PAS_BRD_ARR ,BG ,AT,273292 ,Austria
51,PAS_BRD_ARR ,BG ,BE,125644 ,Belgium
52,PAS_BRD_ARR ,BG ,CY,81959 ,Cyprus
53,PAS_BRD_ARR ,BG ,CZ,181654 ,Czech Republic
54,PAS_BRD_ARR ,BG ,DE,978009 ,Germany
55,PAS_BRD_ARR ,BG ,DK,60591 ,Denmark
